symbol	GeneID
SCYL3	ENSG00000000457
C1orf112	ENSG00000000460
FGR	ENSG00000000938
CFH	ENSG00000000971
STPG1	ENSG00000001460
NIPAL3	ENSG00000001461
AK2	ENSG00000004455
KDM1A	ENSG00000004487
TTC22	ENSG00000006555
ST7L	ENSG00000007341
SELE	ENSG00000007908
DNAJC11	ENSG00000007923
FMO3	ENSG00000007933
E2F2	ENSG00000007968
CAMK1G	ENSG00000008118
CDK11A	ENSG00000008128
NADK	ENSG00000008130
CSDE1	ENSG00000009307
PAX7	ENSG00000009709
FAM76A	ENSG00000009780
TRAF3IP3	ENSG00000009790
SPRTN	ENSG00000010072
METTL13	ENSG00000010165
SCMH1	ENSG00000010803
FMO1	ENSG00000010932
ELOA	ENSG00000011007
LYPLA2	ENSG00000011009
CLCN6	ENSG00000011021
MTMR11	ENSG00000014914
CLCA1	ENSG00000016490
CLCA4	ENSG00000016602
ATP1A2	ENSG00000018625
NCDN	ENSG00000020129
C8B	ENSG00000021852
GLRX2	ENSG00000023572
PLEKHO1	ENSG00000023902
GCLM	ENSG00000023909
DEPDC1	ENSG00000024526
KPNA6	ENSG00000025800
SLAMF7	ENSG00000026751
INSRR	ENSG00000027644
SH2D2A	ENSG00000027869
TNFRSF1B	ENSG00000028137
SARS1	ENSG00000031698
LRRC7	ENSG00000033122
MYOC	ENSG00000034971
ADSS2	ENSG00000035687
ZZZ3	ENSG00000036549
FBXO42	ENSG00000037637
SLC66A1	ENSG00000040487
THAP3	ENSG00000041988
USH2A	ENSG00000042781
TRIT1	ENSG00000043514
GUCA2B	ENSG00000044012
TPR	ENSG00000047410
VPS13D	ENSG00000048707
COL9A2	ENSG00000049089
H6PD	ENSG00000049239
VAMP3	ENSG00000049245
PTGER3	ENSG00000050628
SIKE1	ENSG00000052723
AKR7A2	ENSG00000053371
MRTO4	ENSG00000053372
TRAPPC3	ENSG00000054116
THRAP3	ENSG00000054118
ARID4B	ENSG00000054267
OPN3	ENSG00000054277
SDCCAG8	ENSG00000054282
HHAT	ENSG00000054392
KIF1B	ENSG00000054523
SZRD1	ENSG00000055070
MCOLN3	ENSG00000055732
SOAT1	ENSG00000057252
MSH4	ENSG00000057468
PITHD1	ENSG00000057757
LAMC2	ENSG00000058085
CROCC	ENSG00000058453
ZC3H11A	ENSG00000058673
YIPF1	ENSG00000058799
NDC1	ENSG00000058804
TARBP1	ENSG00000059588
PIGV	ENSG00000060642
PTPRU	ENSG00000060656
SNRNP40	ENSG00000060688
DDX20	ENSG00000064703
CHI3L2	ENSG00000064886
GNAI3	ENSG00000065135
WDR3	ENSG00000065183
PKN2	ENSG00000065243
PACC1	ENSG00000065600
YBX1	ENSG00000065978
PPP2R5A	ENSG00000066027
TIE1	ENSG00000066056
KDM4A	ENSG00000066135
NFYC	ENSG00000066136
ZMYND12	ENSG00000066185
ASPM	ENSG00000066279
CD84	ENSG00000066294
ELOVL1	ENSG00000066322
LRRC40	ENSG00000066557
DNTTIP2	ENSG00000067334
RRP15	ENSG00000067533
PRKCZ	ENSG00000067606
IARS2	ENSG00000067704
NUP133	ENSG00000069248
NUCKS1	ENSG00000069275
TGFBR3	ENSG00000069702
TESK2	ENSG00000070759
EIF2B3	ENSG00000070785
EPHA8	ENSG00000070886
FCGR2B	ENSG00000072694
CD5L	ENSG00000073754
PTGS2	ENSG00000073756
ARHGEF10L	ENSG00000074964
EIF4G3	ENSG00000075151
RASAL2	ENSG00000075391
KIFAP3	ENSG00000075945
FMO4	ENSG00000076258
KLHL20	ENSG00000076321
PLXNA2	ENSG00000076356
RAP1GAP	ENSG00000076864
USP33	ENSG00000077254
GPR137B	ENSG00000077585
NRDC	ENSG00000078618
SDF4	ENSG00000078808
TP73	ENSG00000078900
MKNK1	ENSG00000079277
CDC14A	ENSG00000079335
PGM1	ENSG00000079739
RSBN1	ENSG00000081019
MAGI3	ENSG00000081026
PTPRC	ENSG00000081237
CACNA1S	ENSG00000081248
PKP1	ENSG00000081277
JMJD4	ENSG00000081692
DUSP12	ENSG00000081721
HSPB11	ENSG00000081870
IL12RB2	ENSG00000081985
KCNK2	ENSG00000082482
TRAF5	ENSG00000082512
PLOD1	ENSG00000083444
SMAP2	ENSG00000084070
PPIE	ENSG00000084072
ZMPSTE24	ENSG00000084073
EIF3I	ENSG00000084623
NKAIN1	ENSG00000084628
COL16A1	ENSG00000084636
TXLNA	ENSG00000084652
WDR47	ENSG00000085433
OVGP1	ENSG00000085465
SLC25A24	ENSG00000085491
IGSF9	ENSG00000085552
TTC39A	ENSG00000085831
ORC1	ENSG00000085840
POMGNT1	ENSG00000085998
RAD54L	ENSG00000085999
MAST2	ENSG00000086015
ERO1B	ENSG00000086619
ALG6	ENSG00000088035
ASAP3	ENSG00000088280
SLC9A1	ENSG00000090020
RGS1	ENSG00000090104
NUDC	ENSG00000090273
MUL1	ENSG00000090432
PABPC4	ENSG00000090621
USP48	ENSG00000090686
FH	ENSG00000091483
TBX15	ENSG00000092607
PHGDH	ENSG00000092621
TEKT2	ENSG00000092850
CLSPN	ENSG00000092853
TGFB2	ENSG00000092969
GPATCH2	ENSG00000092978
FMO2	ENSG00000094963
SUCO	ENSG00000094975
CDC7	ENSG00000097046
SYDE2	ENSG00000097096
